epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1993,1.39713,2.72557,1.58421,0.01072,1,0.5715,0.25476,1.37723,3.12529,1.67683,0.000476286,0.000476286,0.000476286
2,55.0762,1.0971,2.19675,1.36452,0.00315,0.29167,0.0117,0.00252,3.86263,4.44066,4.04165,0.000963844,0.000963844,0.000963844
3,72.3049,1.09734,1.76163,1.37794,0.00386,0.41667,0.00232,0.0003,4.68348,5.16379,4.41246,0.00137805,0.00137805,0.00137805
4,88.4584,1.08597,1.59173,1.39373,0.20815,0.125,0.05294,0.01186,3.19806,4.12695,4.03497,0.00133693,0.00133693,0.00133693
5,118.429,1.05874,1.43652,1.35709,0.12771,0.375,0.09754,0.02149,2.75095,4.72414,3.4671,0.00122691,0.00122691,0.00122691
6,150.275,1.03518,1.794,1.47626,0.42673,0.58333,0.49019,0.17291,1.46556,5.70622,2.22373,0.00111689,0.00111689,0.00111689
7,175.592,1.00905,1.64553,1.39369,0.2484,0.95833,0.88971,0.44183,1.16595,11.6515,1.77491,0.00100687,0.00100687,0.00100687
8,201.588,0.8771,1.34764,1.32066,0.31355,1,0.75777,0.2815,1.29792,11.4365,2.02069,0.000896846,0.000896846,0.000896846
9,228.665,0.78789,1.30281,1.18724,0.28341,0.95833,0.76387,0.3249,1.16614,11.5714,1.89076,0.000786824,0.000786824,0.000786824
10,250.926,0.79938,1.32462,1.25376,0.36467,0.95833,0.90922,0.52145,1.04938,8.55886,1.65437,0.000676802,0.000676802,0.000676802
11,268.187,0.78905,1.22413,1.21687,0.66343,1,0.98889,0.55813,1.08832,6.34366,1.66224,0.00056678,0.00056678,0.00056678
12,284.888,0.67448,1.0955,1.1483,0.88302,1,0.9934,0.56474,1.05636,4.05733,1.70079,0.000456758,0.000456758,0.000456758
13,304.009,0.76821,1.04504,1.23382,0.88629,1,0.995,0.61972,1.00519,3.28527,1.60747,0.000346736,0.000346736,0.000346736
14,320.906,0.73194,1.09253,1.18747,0.98286,1,0.995,0.6558,0.88635,2.15752,1.44719,0.000236714,0.000236714,0.000236714
15,337.706,0.64188,1.03219,1.13653,0.98706,1,0.995,0.69988,0.87427,1.67572,1.4333,0.000126692,0.000126692,0.000126692
